launched_at_Monday,launched_at_Saturday,launched_at_Sunday,launched_at_Thursday,launched_at_Tuesday,launched_at_Wednesday
False,False,False,False,True,False
False,False,True,False,False,False
True,False,False,False,False,False
False,False,True,False,False,False
True,False,False,False,False,False
True,False,False,False,False,False
False,False,False,False,True,False
False,False,False,False,False,True
False,False,False,False,False,True
False,False,False,True,False,False
False,False,False,False,True,False
False,False,False,False,False,True
False,False,False,False,False,False
False,False,False,True,False,False
True,False,False,False,False,False
False,False,False,False,True,False
False,False,False,False,False,True
False,False,False,False,False,True
False,False,False,False,False,False
True,False,False,False,False,False
False,False,False,False,False,True
False,True,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,True
False,False,False,False,True,False
False,False,False,False,True,False
False,False,False,False,False,False
False,False,True,False,False,False
False,False,False,False,False,False
False,False,False,False,True,False
False,False,False,False,False,False
False,False,False,False,False,False
True,False,False,False,False,False
False,False,False,True,False,False
True,False,False,False,False,False
False,False,False,False,False,True
False,False,True,False,False,False
False,False,False,False,True,False
False,False,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,True
False,True,False,False,False,False
False,False,False,False,True,False
False,True,False,False,False,False
False,False,False,True,False,False
False,False,True,False,False,False
False,False,False,False,False,False
True,False,False,False,False,False
True,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
True,False,False,False,False,False
False,True,False,False,False,False
False,False,False,False,True,False
False,False,True,False,False,False
False,False,True,False,False,False
False,False,False,False,True,False
False,False,True,False,False,False
False,False,False,True,False,False
False,False,False,False,True,False
False,False,False,False,False,False
True,False,False,False,False,False
False,False,False,False,False,True
False,False,False,True,False,False
False,False,False,False,True,False
False,False,True,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,True,False
False,False,False,False,True,False
False,False,False,False,False,False
False,False,False,False,True,False
False,False,False,True,False,False
True,False,False,False,False,False
False,False,False,False,True,False
False,True,False,False,False,False
False,False,False,False,False,False
False,False,False,False,True,False
False,False,False,True,False,False
False,False,True,False,False,False
False,False,False,False,False,False
False,False,False,False,False,True
False,False,False,False,False,False
False,True,False,False,False,False
False,False,False,True,False,False
True,False,False,False,False,False
False,True,False,False,False,False
False,False,False,False,True,False
False,False,False,False,False,True
False,False,False,False,False,True
False,True,False,False,False,False
False,False,False,False,False,True
False,False,False,False,False,False
False,False,False,False,False,False
True,False,False,False,False,False
False,False,True,False,False,False
False,False,False,False,True,False
False,False,False,False,True,False
False,False,False,False,False,True
False,False,False,False,False,False
True,False,False,False,False,False
False,True,False,False,False,False
False,False,False,False,True,False
False,False,False,False,True,False
True,False,False,False,False,False
True,False,False,False,False,False
False,False,True,False,False,False
False,False,False,False,False,True
False,False,False,False,True,False
True,False,False,False,False,False
False,False,False,False,False,True
True,False,False,False,False,False
False,False,False,False,False,True
False,False,False,True,False,False
True,False,False,False,False,False
False,False,False,False,False,True
False,False,False,False,False,True
False,False,False,False,False,False
False,False,False,False,False,True
False,False,False,False,True,False
False,False,False,False,False,False
False,False,False,False,True,False
False,False,False,False,False,False
False,False,False,True,False,False
True,False,False,False,False,False
False,False,False,False,True,False
False,False,False,False,False,False
True,False,False,False,False,False
False,False,True,False,False,False
False,False,False,False,False,False
True,False,False,False,False,False
True,False,False,False,False,False
True,False,False,False,False,False
True,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,True
True,False,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,True,False
False,False,True,False,False,False
False,True,False,False,False,False
False,False,False,False,True,False
False,False,False,False,True,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,True,False,False,False
True,False,False,False,False,False
True,False,False,False,False,False
False,False,False,True,False,False
False,False,False,False,True,False
True,False,False,False,False,False
False,False,False,False,True,False
True,False,False,False,False,False
False,False,False,False,True,False
True,False,False,False,False,False
False,False,False,False,False,True
False,False,False,True,False,False
False,False,False,True,False,False
False,False,False,False,False,False
False,False,False,False,True,False
False,False,False,True,False,False
False,False,False,True,False,False
False,False,False,True,False,False
False,False,False,False,False,True
False,False,False,True,False,False
False,True,False,False,False,False
False,False,False,False,True,False
False,False,False,True,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,True,False,False
False,False,False,False,True,False
False,False,False,False,True,False
True,False,False,False,False,False
True,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,True,False,False
True,False,False,False,False,False
False,False,False,False,False,True
False,True,False,False,False,False
False,False,False,False,False,True
False,False,False,False,True,False
True,False,False,False,False,False
False,False,False,False,False,True
False,False,False,False,False,False
True,False,False,False,False,False
False,False,False,True,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,True,False,False,False
False,False,False,False,False,False
False,False,True,False,False,False
False,True,False,False,False,False
False,False,False,False,True,False
False,True,False,False,False,False
False,False,False,True,False,False
False,False,False,False,True,False
False,False,False,False,True,False
True,False,False,False,False,False
True,False,False,False,False,False
False,False,False,True,False,False
False,False,False,False,True,False
False,False,False,False,False,False
False,True,False,False,False,False
False,False,True,False,False,False
True,False,False,False,False,False
False,False,True,False,False,False
False,False,False,False,True,False
False,False,False,False,False,False
False,False,False,False,False,True
False,False,False,False,False,True
False,False,False,False,True,False
False,False,False,False,False,False
False,False,False,True,False,False
False,False,False,False,False,True
False,True,False,False,False,False
False,False,False,False,True,False
False,False,False,False,True,False
False,False,False,False,False,False
False,False,False,False,True,False
False,True,False,False,False,False
True,False,False,False,False,False
False,False,False,False,False,True
False,False,False,False,True,False
False,False,False,False,False,True
False,False,False,False,False,False
False,False,True,False,False,False
False,False,False,False,False,True
False,False,False,False,False,True
False,False,False,False,False,False
False,True,False,False,False,False
True,False,False,False,False,False
False,False,False,False,True,False
False,False,False,False,False,True
False,False,False,True,False,False
False,False,True,False,False,False
False,False,False,False,True,False
True,False,False,False,False,False
False,False,False,True,False,False
False,False,False,False,False,False
False,False,False,False,True,False
False,True,False,False,False,False
False,False,False,False,False,False
True,False,False,False,False,False
False,False,False,False,True,False
True,False,False,False,False,False
False,False,False,True,False,False
False,False,False,False,False,False
False,False,False,True,False,False
False,False,False,False,False,False
True,False,False,False,False,False
False,False,False,False,False,False
True,False,False,False,False,False
False,False,False,True,False,False
True,False,False,False,False,False
True,False,False,False,False,False
False,False,False,False,True,False
False,False,False,False,True,False
False,False,False,False,True,False
False,False,False,False,False,True
True,False,False,False,False,False
False,False,False,True,False,False
False,False,False,False,False,True
False,False,False,False,True,False
True,False,False,False,False,False
False,False,False,False,False,True
False,False,False,False,False,False
True,False,False,False,False,False
True,False,False,False,False,False
True,False,False,False,False,False
False,False,False,False,False,True
False,True,False,False,False,False
False,False,False,False,False,False
False,False,False,False,True,False
False,False,False,False,False,True
False,False,False,False,False,False
True,False,False,False,False,False
True,False,False,False,False,False
False,False,False,True,False,False
False,False,True,False,False,False
False,False,False,False,False,False
False,False,False,True,False,False
False,False,False,False,False,True
False,False,False,False,True,False
False,False,False,False,False,False
False,False,False,False,False,True
False,False,False,False,False,True
True,False,False,False,False,False
False,False,False,False,False,False
False,False,False,True,False,False
False,False,False,False,False,True
False,False,False,True,False,False
False,False,False,False,True,False
True,False,False,False,False,False
False,False,False,False,True,False
False,False,False,False,True,False
False,False,False,True,False,False
True,False,False,False,False,False
False,False,True,False,False,False
False,False,False,False,False,False
True,False,False,False,False,False
False,False,False,False,False,True
False,True,False,False,False,False
False,False,False,False,False,False
True,False,False,False,False,False
False,False,True,False,False,False
False,False,False,True,False,False
False,False,True,False,False,False
False,False,False,True,False,False
False,False,False,False,False,False
True,False,False,False,False,False
False,False,False,False,True,False
False,False,False,False,True,False
False,True,False,False,False,False
False,False,False,False,False,True
False,False,False,False,False,True
False,False,False,False,True,False
False,False,False,False,True,False
False,False,False,False,False,False
False,False,False,False,False,True
False,True,False,False,False,False
False,False,False,False,False,True
False,False,False,False,False,True
False,False,False,False,False,True
True,False,False,False,False,False
False,False,False,False,True,False
False,False,False,False,False,True
False,False,False,False,True,False
False,False,False,False,False,True
False,False,False,True,False,False
False,False,False,False,False,True
False,False,False,False,False,True
False,False,False,False,False,True
False,True,False,False,False,False
False,False,False,False,False,False
False,False,False,True,False,False
False,False,False,False,True,False
True,False,False,False,False,False
False,False,False,False,True,False
True,False,False,False,False,False
False,False,False,False,False,False
True,False,False,False,False,False
False,False,False,False,True,False
True,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,True,False
True,False,False,False,False,False
False,True,False,False,False,False
False,False,False,True,False,False
True,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
True,False,False,False,False,False
True,False,False,False,False,False
False,False,False,False,False,False
True,False,False,False,False,False
True,False,False,False,False,False
False,False,False,False,True,False
True,False,False,False,False,False
False,False,False,False,False,True
False,False,False,False,True,False
False,False,False,False,True,False
False,False,False,False,True,False
False,False,False,False,False,False
False,False,False,False,False,True
False,False,False,False,True,False
False,False,False,False,True,False
False,False,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,True
False,False,False,True,False,False
True,False,False,False,False,False
False,False,False,False,False,False
False,False,False,True,False,False
False,False,False,False,False,True
False,False,False,False,False,False
False,False,True,False,False,False
True,False,False,False,False,False
False,False,False,False,True,False
False,False,False,False,True,False
False,False,False,False,True,False
False,False,False,False,False,True
True,False,False,False,False,False
False,False,False,False,False,False
True,False,False,False,False,False
False,False,True,False,False,False
True,False,False,False,False,False
False,False,False,False,False,False
False,False,True,False,False,False
False,False,False,False,False,False
True,False,False,False,False,False
False,False,False,False,False,True
True,False,False,False,False,False
True,False,False,False,False,False
False,False,False,False,True,False
False,False,False,False,True,False
False,False,False,False,False,False
False,False,True,False,False,False
False,False,False,False,False,True
False,False,False,False,True,False
False,False,False,False,False,False
False,False,False,False,False,True
False,False,False,False,True,False
False,True,False,False,False,False
True,False,False,False,False,False
False,False,False,False,True,False
True,False,False,False,False,False
False,False,False,False,False,True
False,False,False,False,True,False
True,False,False,False,False,False
True,False,False,False,False,False
False,False,False,False,True,False
False,False,False,False,False,True
False,False,False,True,False,False
False,False,False,False,False,True
True,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,True,False
False,False,False,False,True,False
False,False,False,False,True,False
False,False,False,False,False,True
False,False,False,True,False,False
False,False,False,False,True,False
False,False,False,True,False,False
False,False,False,False,False,True
False,False,False,False,False,False
True,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,False,False,True,False,False
False,False,False,False,True,False
False,False,True,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,False,False,True,False,False
False,False,False,False,False,False
False,False,False,False,False,True
False,False,True,False,False,False
False,False,False,False,False,False
False,False,False,False,True,False
True,False,False,False,False,False
False,False,False,False,False,True
False,False,False,False,False,False
False,False,False,False,True,False
False,False,False,False,True,False
True,False,False,False,False,False
False,False,False,False,True,False
True,False,False,False,False,False
False,False,True,False,False,False
False,False,False,False,False,True
False,False,False,False,False,False
True,False,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,True
True,False,False,False,False,False
False,False,True,False,False,False
False,False,False,True,False,False
False,False,False,False,True,False
True,False,False,False,False,False
False,False,False,False,True,False
False,False,False,False,True,False
False,False,True,False,False,False
False,False,True,False,False,False
False,False,False,False,False,True
False,False,False,False,True,False
False,False,False,False,False,True
False,False,False,False,False,True
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,True,False,False
False,True,False,False,False,False
False,False,False,False,False,True
True,False,False,False,False,False
True,False,False,False,False,False
True,False,False,False,False,False
False,False,False,True,False,False
False,False,False,False,False,True
True,False,False,False,False,False
False,False,False,True,False,False
False,False,True,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
True,False,False,False,False,False
False,False,False,False,True,False
False,True,False,False,False,False
False,False,True,False,False,False
False,False,False,False,False,False
False,False,False,False,False,True
False,False,True,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,True,False,False,False
False,False,False,True,False,False
True,False,False,False,False,False
False,True,False,False,False,False
False,False,True,False,False,False
True,False,False,False,False,False
False,True,False,False,False,False
False,False,False,False,True,False
True,False,False,False,False,False
False,False,False,False,True,False
False,False,False,False,False,True
False,False,False,False,True,False
False,False,False,False,True,False
False,False,False,True,False,False
True,False,False,False,False,False
False,False,True,False,False,False
False,False,False,False,True,False
False,False,False,False,True,False
False,False,False,False,False,True
False,False,False,False,False,True
False,False,False,False,False,True
False,False,False,False,True,False
True,False,False,False,False,False
False,True,False,False,False,False
False,False,False,False,True,False
True,False,False,False,False,False
False,False,False,False,True,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,True,False,False,False
False,True,False,False,False,False
False,False,False,False,False,True
False,False,False,False,True,False
True,False,False,False,False,False
False,False,False,False,False,False
False,False,False,True,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,False,True,False,False,False
False,False,False,False,True,False
False,True,False,False,False,False
False,False,False,False,False,False
False,False,True,False,False,False
True,False,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
True,False,False,False,False,False
True,False,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,False,False,True,False,False
False,False,True,False,False,False
False,False,False,True,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,False,True,False,False,False
False,True,False,False,False,False
False,False,False,False,False,True
True,False,False,False,False,False
False,False,False,False,False,False
True,False,False,False,False,False
False,False,True,False,False,False
False,True,False,False,False,False
False,False,False,False,False,True
False,False,False,False,False,True
False,False,False,False,False,True
False,True,False,False,False,False
True,False,False,False,False,False
False,False,False,False,False,True
False,False,False,False,True,False
True,False,False,False,False,False
False,False,False,False,True,False
False,False,True,False,False,False
False,False,False,False,True,False
False,False,False,False,False,True
False,False,False,True,False,False
True,False,False,False,False,False
False,False,False,False,True,False
False,False,False,False,False,True
False,False,False,False,False,False
False,False,False,True,False,False
False,False,False,False,False,True
False,False,False,True,False,False
False,False,False,False,True,False
False,False,False,False,False,True
False,False,False,False,True,False
True,False,False,False,False,False
False,False,False,False,False,False
False,False,False,True,False,False
False,False,False,False,False,False
False,False,False,True,False,False
False,False,False,False,False,False
False,False,False,False,True,False
False,False,False,False,True,False
True,False,False,False,False,False
True,False,False,False,False,False
False,False,False,False,False,True
True,False,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,True
True,False,False,False,False,False
False,False,True,False,False,False
False,False,False,False,True,False
False,False,True,False,False,False
False,False,False,False,False,False
False,False,False,False,True,False
False,True,False,False,False,False
False,False,True,False,False,False
False,True,False,False,False,False
False,False,False,False,False,True
False,True,False,False,False,False
False,False,True,False,False,False
False,True,False,False,False,False
False,False,True,False,False,False
True,False,False,False,False,False
False,False,False,True,False,False
False,False,False,True,False,False
True,False,False,False,False,False
True,False,False,False,False,False
False,False,True,False,False,False
False,False,False,True,False,False
True,False,False,False,False,False
True,False,False,False,False,False
False,False,False,False,True,False
False,False,False,True,False,False
False,False,False,False,True,False
False,False,False,False,False,False
False,False,False,True,False,False
False,False,False,True,False,False
False,False,False,False,False,False
False,False,False,True,False,False
True,False,False,False,False,False
True,False,False,False,False,False
False,False,True,False,False,False
False,False,False,False,False,False
False,False,False,False,False,True
True,False,False,False,False,False
False,False,False,False,False,True
False,True,False,False,False,False
False,False,False,True,False,False
False,False,False,False,False,True
False,False,False,False,False,False
True,False,False,False,False,False
False,False,True,False,False,False
False,False,False,False,True,False
False,False,False,True,False,False
False,False,False,False,True,False
True,False,False,False,False,False
False,False,False,False,False,True
False,False,False,False,False,False
False,False,False,True,False,False
False,False,False,False,True,False
False,False,False,True,False,False
False,False,True,False,False,False
False,False,False,True,False,False
False,True,False,False,False,False
False,False,False,True,False,False
False,False,False,False,False,False
False,False,False,False,True,False
False,False,False,True,False,False
False,True,False,False,False,False
False,False,False,False,False,True
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,True,False,False
False,False,False,False,False,False
True,False,False,False,False,False
False,False,False,False,True,False
False,False,False,False,False,True
False,False,False,False,False,True
False,True,False,False,False,False
False,False,False,True,False,False
False,False,False,False,False,False
False,False,False,False,True,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,True
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,True,False
True,False,False,False,False,False
False,False,False,False,False,True
False,False,False,False,True,False
False,False,False,False,True,False
False,False,False,True,False,False
False,True,False,False,False,False
False,False,False,False,False,True
False,False,False,False,True,False
False,True,False,False,False,False
False,False,False,True,False,False
False,False,False,False,False,True
False,False,False,True,False,False
False,False,False,False,True,False
False,False,False,False,False,True
True,False,False,False,False,False
True,False,False,False,False,False
True,False,False,False,False,False
False,False,True,False,False,False
False,False,False,False,False,True
False,False,False,True,False,False
False,False,False,True,False,False
False,False,False,False,False,False
False,False,False,False,False,True
False,False,False,False,False,False
False,False,False,False,False,True
False,False,False,False,True,False
False,False,False,True,False,False
False,False,False,False,False,True
False,False,False,False,False,False
False,False,True,False,False,False
False,False,True,False,False,False
False,False,False,False,True,False
False,False,False,False,True,False
True,False,False,False,False,False
False,False,False,True,False,False
True,False,False,False,False,False
True,False,False,False,False,False
False,False,False,False,False,False
True,False,False,False,False,False
True,False,False,False,False,False
False,False,False,True,False,False
False,True,False,False,False,False
False,False,False,False,False,True
False,False,False,False,False,True
False,False,False,True,False,False
False,False,False,True,False,False
False,False,False,False,False,True
True,False,False,False,False,False
True,False,False,False,False,False
True,False,False,False,False,False
False,False,True,False,False,False
False,False,False,False,False,True
False,False,False,False,False,False
False,False,True,False,False,False
False,False,False,True,False,False
False,False,False,False,True,False
True,False,False,False,False,False
True,False,False,False,False,False
False,False,False,False,False,True
False,False,False,False,True,False
False,False,False,False,False,True
False,False,False,True,False,False
False,False,False,False,True,False
False,True,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,True
False,False,False,False,True,False
True,False,False,False,False,False
False,True,False,False,False,False
False,False,False,False,True,False
False,False,False,False,False,True
False,False,False,False,True,False
False,False,False,True,False,False
False,False,False,False,True,False
False,False,False,False,True,False
True,False,False,False,False,False
True,False,False,False,False,False
True,False,False,False,False,False
True,False,False,False,False,False
False,False,False,True,False,False
False,False,False,True,False,False
False,False,True,False,False,False
False,True,False,False,False,False
False,False,False,False,True,False
False,False,False,False,False,False
True,False,False,False,False,False
False,False,True,False,False,False
True,False,False,False,False,False
False,True,False,False,False,False
False,False,False,True,False,False
False,False,False,False,False,False
False,False,False,False,False,False
True,False,False,False,False,False
False,False,False,True,False,False
False,False,False,False,False,False
False,False,False,False,False,True
False,False,False,False,False,True
False,False,False,False,False,False
False,False,False,True,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,True,False
False,False,False,False,False,True
False,False,False,False,True,False
False,True,False,False,False,False
False,False,True,False,False,False
False,False,True,False,False,False
False,False,True,False,False,False
False,False,False,False,True,False
False,False,False,True,False,False
False,False,False,False,False,False
False,False,False,False,False,True
False,False,False,False,False,False
False,False,False,False,True,False
False,False,False,False,False,True
True,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
True,False,False,False,False,False
False,False,False,False,True,False
False,False,False,False,False,True
False,False,False,False,False,False
True,False,False,False,False,False
False,False,False,False,True,False
False,False,False,True,False,False
False,False,False,False,True,False
False,False,False,False,True,False
False,False,False,False,True,False
False,False,False,False,False,True
False,False,False,False,False,False
False,True,False,False,False,False
True,False,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,True,False,False
False,False,False,True,False,False
True,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,True,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
True,False,False,False,False,False
False,False,False,False,False,True
True,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,True,False
False,False,True,False,False,False
False,False,False,False,True,False
True,False,False,False,False,False
True,False,False,False,False,False
False,False,False,False,True,False
False,False,False,False,True,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,True,False,False,False
True,False,False,False,False,False
False,False,False,True,False,False
True,False,False,False,False,False
False,False,False,False,True,False
True,False,False,False,False,False
True,False,False,False,False,False
False,False,False,True,False,False
True,False,False,False,False,False
True,False,False,False,False,False
False,False,False,False,False,True
False,False,False,False,True,False
False,True,False,False,False,False
False,False,True,False,False,False
True,False,False,False,False,False
False,False,False,False,False,True
False,False,False,True,False,False
False,False,False,True,False,False
False,False,False,False,False,True
True,False,False,False,False,False
False,False,False,False,False,True
False,False,True,False,False,False
False,False,False,False,True,False
True,False,False,False,False,False
False,True,False,False,False,False
False,False,False,False,True,False
False,False,False,False,True,False
False,False,False,False,False,False
False,False,False,False,True,False
True,False,False,False,False,False
False,False,False,True,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,True
False,False,False,False,False,False
False,False,False,False,False,False
True,False,False,False,False,False
False,False,False,False,False,True
False,False,False,True,False,False
False,False,True,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,True,False,False
False,False,False,False,False,True
False,False,False,False,True,False
True,False,False,False,False,False
False,False,False,False,False,True
False,False,False,False,True,False
True,False,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,True
False,False,False,False,True,False
True,False,False,False,False,False
False,False,False,False,True,False
False,False,False,True,False,False
False,False,False,True,False,False
False,False,False,True,False,False
False,False,False,True,False,False
False,False,False,False,True,False
True,False,False,False,False,False
False,True,False,False,False,False
False,False,False,False,True,False
False,False,False,False,True,False
False,False,False,False,False,True
False,False,False,False,True,False
False,False,False,False,False,True
False,False,False,False,False,False
False,False,False,False,False,True
False,False,False,False,False,True
False,False,False,False,False,True
False,False,False,False,False,False
False,False,False,False,False,True
False,False,False,False,False,True
False,False,False,True,False,False
True,False,False,False,False,False
False,False,False,False,False,True
True,False,False,False,False,False
False,False,False,False,False,True
False,False,False,False,True,False
True,False,False,False,False,False
False,False,False,False,False,False
False,False,True,False,False,False
True,False,False,False,False,False
False,False,False,True,False,False
False,True,False,False,False,False
False,True,False,False,False,False
True,False,False,False,False,False
True,False,False,False,False,False
True,False,False,False,False,False
True,False,False,False,False,False
True,False,False,False,False,False
False,False,False,False,False,True
False,False,False,False,False,True
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,False,False,False,True,False
False,False,False,True,False,False
False,False,False,False,True,False
False,False,False,True,False,False
False,False,False,True,False,False
False,False,False,False,True,False
False,False,False,False,False,True
False,True,False,False,False,False
True,False,False,False,False,False
True,False,False,False,False,False
True,False,False,False,False,False
False,False,False,False,False,True
False,False,True,False,False,False
False,False,False,False,True,False
True,False,False,False,False,False
False,False,False,False,False,True
False,False,False,True,False,False
True,False,False,False,False,False
False,False,False,False,False,True
False,False,False,False,True,False
True,False,False,False,False,False
False,False,False,False,True,False
False,False,False,True,False,False
False,False,False,False,True,False
False,False,False,False,False,False
False,True,False,False,False,False
False,False,False,True,False,False
False,False,False,False,True,False
False,False,False,False,False,True
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,True,False
False,True,False,False,False,False
False,False,False,False,False,True
False,False,False,False,False,True
False,False,False,False,True,False
False,True,False,False,False,False
False,False,False,False,False,True
False,False,False,False,True,False
False,False,False,False,False,True
False,False,False,False,False,True
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,True
False,False,False,False,True,False
True,False,False,False,False,False
True,False,False,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,False,False,False,True,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,True,False
False,False,True,False,False,False
False,False,True,False,False,False
False,False,False,False,True,False
False,False,False,True,False,False
False,False,False,False,False,False
True,False,False,False,False,False
False,False,False,True,False,False
True,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,True
False,False,False,False,True,False
False,False,False,False,False,False
False,True,False,False,False,False
False,False,False,False,True,False
True,False,False,False,False,False
True,False,False,False,False,False
False,False,False,False,True,False
False,False,False,False,False,True
False,True,False,False,False,False
False,False,False,True,False,False
False,False,False,False,False,True
False,False,False,False,True,False
False,False,False,False,False,True
False,False,False,False,True,False
False,False,False,True,False,False
False,False,False,True,False,False
True,False,False,False,False,False
False,False,False,False,False,False
False,False,False,True,False,False
False,False,False,False,False,False
True,False,False,False,False,False
False,False,False,False,True,False
False,False,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
True,False,False,False,False,False
False,False,False,True,False,False
False,False,True,False,False,False
False,False,False,False,False,False
False,False,False,False,False,True
False,False,False,False,False,False
False,False,True,False,False,False
False,False,False,True,False,False
False,False,False,False,False,True
False,True,False,False,False,False
False,False,False,True,False,False
False,False,False,False,True,False
False,False,False,False,True,False
False,False,True,False,False,False
False,False,False,False,False,False
False,False,False,False,False,True
False,False,False,False,True,False
False,False,False,False,True,False
False,False,False,True,False,False
False,False,False,False,True,False
False,False,False,False,False,False
False,False,False,False,True,False
False,False,False,False,True,False
False,False,False,False,True,False
False,False,False,False,True,False
False,False,False,False,False,True
False,False,False,False,False,True
False,False,False,False,False,True
False,False,False,False,False,False
False,False,False,True,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,False,True,False,False,False
True,False,False,False,False,False
True,False,False,False,False,False
False,False,False,False,False,False
False,False,False,True,False,False
False,False,False,True,False,False
True,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,False,False,False,True,False
False,False,False,False,True,False
False,False,False,False,False,False
False,False,True,False,False,False
True,False,False,False,False,False
False,False,False,False,True,False
True,False,False,False,False,False
True,False,False,False,False,False
False,False,False,False,False,True
False,False,False,False,True,False
True,False,False,False,False,False
False,False,False,False,False,True
False,False,False,False,False,False
False,False,False,True,False,False
False,False,True,False,False,False
False,False,False,False,True,False
False,False,True,False,False,False
False,False,False,False,True,False
False,True,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,True
True,False,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
True,False,False,False,False,False
False,False,False,True,False,False
False,False,False,True,False,False
False,False,False,True,False,False
False,False,True,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,True,False,False
False,False,False,False,True,False
False,False,False,False,True,False
False,False,False,False,False,False
False,False,False,False,True,False
False,False,False,True,False,False
False,False,False,False,False,True
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,True
False,True,False,False,False,False
False,False,False,False,False,True
False,False,False,False,True,False
False,False,True,False,False,False
False,False,False,False,True,False
False,False,True,False,False,False
False,False,False,False,False,True
False,True,False,False,False,False
True,False,False,False,False,False
False,False,False,False,True,False
True,False,False,False,False,False
False,False,True,False,False,False
False,False,True,False,False,False
False,False,False,False,False,True
False,False,False,False,True,False
True,False,False,False,False,False
False,False,False,False,True,False
False,False,False,False,False,False
False,False,False,True,False,False
False,False,False,True,False,False
False,False,False,False,True,False
False,False,False,False,True,False
False,False,False,False,True,False
False,False,False,False,False,True
False,False,False,False,False,False
False,False,False,False,True,False
False,False,False,False,True,False
False,False,False,False,False,True
False,False,False,False,True,False
False,False,False,False,False,True
False,False,False,False,False,True
False,False,False,False,True,False
False,False,True,False,False,False
False,False,False,True,False,False
False,False,False,False,False,True
False,False,False,True,False,False
False,False,False,False,True,False
False,False,True,False,False,False
False,False,False,False,False,False
False,True,False,False,False,False
False,True,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,False
False,False,False,False,False,True
